pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)   0.542 us    |                          __rt_mutex_unlock();
 0)   6.750 us    |                        }
 0) + 12.916 us   |                      }
 0) + 16.250 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.584 us    |                      kmem_cache_free();
 0)   3.708 us    |                    }
 0)   0.541 us    |                    kmem_cache_free();
 0) + 51.042 us   |                  }
 0)               |                  unlink_file_vma() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.500 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.500 us    |                          preempt_count_sub();
 0)   9.708 us    |                        }
 0) + 12.709 us   |                      }
 0) + 15.958 us   |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.459 us    |                      rt_spin_lock();
 0)   0.583 us    |                      vma_interval_tree_remove();
 0)   0.500 us    |                      rt_spin_unlock();
 0)   9.750 us    |                    }
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.459 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.542 us    |                          preempt_count_sub();
 0)   0.541 us    |                          __rt_mutex_unlock();
 0)   6.833 us    |                        }
 0) + 13.209 us   |                      }
 0) + 16.333 us   |                    }
 0) + 50.292 us   |                  }
 0)               |                  unlink_anon_vmas() {
 0)               |                    down_write() {
 0)               |                      __down_write() {
 0)               |                        __down_write_common() {
 0)   0.458 us    |                          __rt_mutex_lock_state();
 0)   0.500 us    |                          preempt_count_add();
 0)   0.459 us    |                          preempt_count_sub();
 0)   9.708 us    |                        }
 0) + 12.709 us   |                      }
 0) + 16.041 us   |                    }
 0)   0.542 us    |                    anon_vma_interval_tree_remove();
 0)               |                    up_write() {
 0)               |                      __up_write() {
 0)   0.458 us    |                        preempt_count_add();
 0)               |                        __up_write_unlock() {
 0)   0.458 us    |                          preempt_count_sub();
 0)   0.541 us    |                          __rt_mutex_unlock();
 0)   7.708 us    |                        }
 0) + 14.083 us   |                      }
 0) + 16.958 us   |                    }
 0)               |                    __put_anon_vma() {
 0)   0.625 us    |                      kmem_cache_free();
 0)   4.083 us    |                    }
 0)   0.542 us    |                    kmem_cache_free();
 0) + 52.750 us   |                  }
 0)   0.458 us    |                  unlink_file_vma();
 0)   0.458 us    |                  unlink_anon_vmas();
