,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
27318,resched_curr,000,null,d,null,null,check_preempt_curr_rt,2,pi_stress-2443,182903.353403
27319,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353404
27320,preempt_count_sub,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.353406
27321,preempt_count_sub,000,null,null,n,null,try_to_wake_up,1,pi_stress-2443,182903.353407
27322,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353408
27323,rcu_sched_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.353409
27324,rcu_preempt_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.35341
27325,preempt_count_add,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.353412
27326,update_rq_clock,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353413
27327,pick_next_task_dl,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353414
27328,pick_next_task_rt,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.353415
27329,update_curr_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.353416
27330,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.353418
27331,cpuacct_charge,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.353419
27332,__rcu_read_lock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.35342
27333,__rcu_read_unlock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.353421
27334,preempt_count_add,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.353422
27335,preempt_count_sub,000,null,d,n,null,update_curr_rt,3,pi_stress-2443,182903.353423
27336,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.353424
27337,update_curr_rt,000,null,d,n,null,put_prev_task_rt,2,pi_stress-2443,182903.353425
27338,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2443,182903.353427
27339,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2443,182903.353428
27340,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353429
27341,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353431
27342,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.353432
27343,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.353433
27344,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.353434
27345,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.353435
27346,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2445,182903.353436
27347,preempt_count_sub,000,null,null,null,null,schedule,1,pi_stress-2445,182903.353438
27348,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-2445,182903.353439
27349,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2445,182903.353441
27350,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2445,182903.353442
27351,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.353443
27352,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2445,182903.353444
27353,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.353445
27354,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2445,182903.353446
27355,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.353448
27356,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.353449
27357,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.35345
27358,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2445,182903.353451
27359,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2445,182903.353453
27360,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2445,182903.353454
27361,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2445,182903.353455
27362,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2445,182903.353456
27363,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2445,182903.353457
