,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
6752,preempt_count_add,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2425,182888.907724
6753,preempt_count_sub,000,null,d,null,null,enqueue_task_rt,3,pi_stress-2425,182888.907725
6754,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,2,pi_stress-2425,182888.907726
6755,check_preempt_curr,000,null,d,null,null,try_to_wake_up,2,pi_stress-2425,182888.907727
6756,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,2,pi_stress-2425,182888.907728
6757,resched_curr,000,null,d,null,null,check_preempt_curr_rt,2,pi_stress-2425,182888.907729
6758,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,2,pi_stress-2425,182888.907731
6759,preempt_count_sub,000,null,d,n,null,try_to_wake_up,2,pi_stress-2425,182888.907732
6760,preempt_count_sub,000,null,null,n,null,try_to_wake_up,1,pi_stress-2425,182888.907733
6761,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2425,182888.907734
6762,rcu_sched_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2425,182888.907736
6763,rcu_preempt_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2425,182888.907737
6764,preempt_count_add,000,null,d,n,null,__schedule,1,pi_stress-2425,182888.907738
6765,update_rq_clock,000,null,d,n,null,__schedule,2,pi_stress-2425,182888.907739
6766,pick_next_task_dl,000,null,d,n,null,__schedule,2,pi_stress-2425,182888.90774
6767,pick_next_task_rt,000,null,d,n,null,__schedule,2,pi_stress-2425,182888.907742
6768,update_curr_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2425,182888.907743
6769,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,2,pi_stress-2425,182888.907744
6770,cpuacct_charge,000,null,d,n,null,update_curr_rt,2,pi_stress-2425,182888.907745
6771,__rcu_read_lock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2425,182888.907746
6772,__rcu_read_unlock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2425,182888.907747
6773,preempt_count_add,000,null,d,n,null,update_curr_rt,2,pi_stress-2425,182888.907748
6774,preempt_count_sub,000,null,d,n,null,update_curr_rt,3,pi_stress-2425,182888.90775
6775,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2425,182888.907751
6776,update_curr_rt,000,null,d,n,null,put_prev_task_rt,2,pi_stress-2425,182888.907752
6777,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2425,182888.907754
6778,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2425,182888.907755
6779,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2425,182888.907756
6780,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2425,182888.907757
6781,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2425,182888.907758
6782,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2425,182888.907759
6783,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2425,182888.907761
6784,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.907762
6785,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2427,182888.907763
6786,preempt_count_sub,000,null,null,null,null,schedule,1,pi_stress-2427,182888.907764
6787,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-2427,182888.907766
6788,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2427,182888.907768
6789,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2427,182888.907769
6790,futex_lock_pi,000,null,null,null,null,do_futex,null,pi_stress-2427,182888.90777
6791,refill_pi_state_cache.part.0,000,null,null,null,null,futex_lock_pi,null,pi_stress-2427,182888.907772
6792,kmem_cache_alloc_trace,000,null,null,null,null,refill_pi_state_cache.part.0,null,pi_stress-2427,182888.907774
6793,get_futex_key,000,null,null,null,null,futex_lock_pi,null,pi_stress-2427,182888.907775
6794,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2427,182888.907777
6795,hash_futex,000,null,null,null,null,futex_lock_pi,null,pi_stress-2427,182888.907778
6796,rt_spin_lock,000,null,null,null,null,futex_lock_pi,null,pi_stress-2427,182888.907779
6797,futex_lock_pi_atomic,000,null,null,null,null,futex_lock_pi,null,pi_stress-2427,182888.90778
6798,__task_pid_nr_ns,000,null,null,null,null,futex_lock_pi_atomic,null,pi_stress-2427,182888.907781
