# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
     0.00%  perf:32202 [120] S ==> sshd:27636 [120]
     0.00%  ptp0:1120 [120] S ==> kworker/u2:1:27770 [120]
     0.00%  sh:32212 [120] R ==> cyclictest:32205 [0]
     0.00%  sshd:27636 [120] S ==> systemd-journal:118 [120]
     0.00%  sshd:32210 [120] R ==> cyclictest:32204 [120]
     0.00%  sshd:32228 [120] S ==> ksoftirqd/0:7 [120]
     0.00%  sshd:32231 [120] R ==> cyclictest:32204 [120]
     0.00%  sudo:32203 [120] R ==> ksoftirqd/0:7 [120]
     0.00%  wicd:984 [120] S ==> .koworker:1016 [120]
     0.00%  .koworker:32213 [120] R ==> cyclictest:32204 [120]
     0.00%  .koworker:32213 [120] R ==> kworker/0:1:32113 [120]
     0.00%  .koworker:32214 [120] S ==> .koworker:32215 [120]
     0.00%  apache2:808 [120] S ==> cyclictest:32204 [120]
     0.00%  avahi-daemon:500 [120] R ==> kworker/0:1:32113 [120]
     0.00%  cron:32212 [120] R ==> cyclictest:32205 [0]
     0.00%  cyclictest:32205 [0] S ==> cron:32212 [120]
     0.00%  cyclictest:32205 [0] S ==> ifconfig:32217 [120]
     0.00%  cyclictest:32205 [0] S ==> jbd2/mmcblk1p2-:97 [120]
     0.00%  ifconfig:32207 [120] R ==> ksoftirqd/0:7 [120]
